Process	Genes
regulation of interferon-beta biosynthetic process	IRF3 TBK1 TICAM1 TLR3 TLR4 TLR7 TLR8 TLR9
regulation of interleukin-6 biosynthetic process	CARD9 CEBPB EREG FOXJ1 GHRL GHSR IFNG IL17F IL1B INPP5D NLRP12 PRG4 TIRAP TLR1 TLR6 TRAF6
regulation of interleukin-8 biosynthetic process	APOA2 BCL10 BCL3 ELANE IL17F KLF4 MAP2K5 PRG3 TLR4 TLR7 TLR8 TNF
positive regulation of interleukin-8 biosynthetic process	APOA2 BCL10 ELANE PRG3 TLR4 TLR7 TLR8 TNF
regulation of nitric oxide biosynthetic process	ACP5 AGTR2 AGXT2 AKT1 ASS1 ATP2B4 CAV1 CD34 CLU DDAH1 DDAH2 EDN1 EGFR ESR1 GIMAP5 GLA HBB HSP90AA1 HSP90AB1 ICAM1 IFNG IL10 IL1B IL4 IL6 INS INSR JAK2 KLF4 MAPK9 NOS1AP OPRM1 P2RX4 PKD2 PTGIS PTGS2 PTX3 SOD2 TICAM1 TLR2 TLR4 TNF TSPO ZC3H12A
positive regulation of nitric oxide biosynthetic process	AGTR2 AGXT2 AKT1 ASS1 CLU DDAH1 DDAH2 EDN1 EGFR ESR1 HBB HSP90AA1 HSP90AB1 ICAM1 IFNG IL1B IL6 INS INSR JAK2 KLF4 MAPK9 OPRM1 P2RX4 PKD2 PTGS2 PTX3 SOD2 TICAM1 TLR2 TLR4 TNF
fat cell differentiation	AACS ADIG ADIPOQ ADRB1 ADRB2 ADRB3 AKT2 ALDH6A1 ALOXE3 ARID5B ARL4A ARL6 ATF2 BBS2 BBS4 BBS7 BBS9 BNIP3 BSCL2 C19ORF80 C1QTNF3 CBY1 CCND1 CEBPA CEBPB CLIP3 CREB5 CTBP1 CTBP2 EBF2 EGR2 EIF2AK3 ERAP1 ERO1L FABP4 FBXO9 FFAR2 FGF10 FOXO1 GDF10 GPR116 GPX1 GSK3B HMGA2 ID4 IL11 INHBB ITGA6 KLF4 LAMA4 LAMB3 LRG1 LRRC8C MB MED1 METRNL METTL8 MKKS MRAP NCOR2 NIPBL NOC3L NUDT7 OSBPL11 OSBPL8 PER2 PEX11A PID1 PLAC8 PLCB1 PPARG PPARGC1A PRDM16 PRLH PSMB8 PTGS2 RARRES2 RETN RGS2 RUNX1T1 SDF4 SH2B2 SIRT1 SLC2A4 SMAD6 SNAI2 SOCS1 SOCS7 SOX8 STEAP4 TCF7L2 TFAP2B TRIM32 TTC8 UCP1 WNT5B
myoblast differentiation	ASB2 CTNNB1 DTYMK FGF6 HINFP HMGCR IGF1 ISL1 JAG1 LGALS1 MAML1 MAPK12 MAPK14 MBNL1 NRG1 RB1 REST SHH WNT10B
endothelial cell differentiation	ACVR2B ACVRL1 BMPR2 CCM2 EDF1 HEY1 HEY2 HOXB5 JAG1 KDM6B KDR LAMA5 MESP1 NOTCH1 NRG1 PROX1 S1PR1 SCUBE1 SETSIP SMAD4 SOX17 SOX18 TMEM100
bone resorption	ACP5 ADRB2 CTNNB1 CTSK GPR55 IHH IL7 NCDN NOX4 PTH PTH1R PTK2B RAB7A RAC1 RAC2 SRC TNFSF11 TPP1 TRAF6 ZNF675
cell redox homeostasis	AIFM1 AIFM3 APEX1 C11ORF31 DDIT3 DLD DNAJC10 DNAJC16 EGLN2 ERO1L ERO1LB ERP44 GCLC GLRX GLRX2 GLRX3 GLRX5 GML GPX1 GRXCR1 GSR IL6 KRIT1 MIEN1 NME8 NME9 P4HB PDIA2 PDIA3 PDIA4 PDIA5 PDIA6 PDILT PRDX4 PTGES2 QSOX1 QSOX2 SELH SELT SELV SEPW1 SH3BGRL3 TMX1 TMX2 TMX3 TMX4 TUSC3 TXN TXN2 TXNDC11 TXNDC12 TXNDC15 TXNDC16 TXNDC2 TXNDC5 TXNDC6 TXNDC8 TXNDC9 TXNL1 TXNRD1 TXNRD2 TXNRD3 VIMP
response to ethanol	AACS ABAT ACTC1 ADCY7 ADCYAP1 ADCYAP1R1 ADH6 ADH7 ADIPOQ APOBEC1 APOE ARSA ATP5G2 AVP BAD BAK1 BDH1 BGLAP BIRC2 CA3 CASP8 CCL2 CCL7 CCND1 CD14 CD27 CDK1 CDO1 CHRNA7 CHRNB2 CNR1 CRH CRHBP CRHR1 CRP CSF2RA CYP2E1 DBH DRD2 DRD3 DRD4 EGR1 EIF4EBP1 EIF4G1 EPS8 FECH FYN G6PD GATA3 GGH GNRH1 GOT2 GRIN1 GRIN2A GRIN2B GRIN3A GSN HMGCR HTR1B HTR3A ICAM1 IGF2 IL13 IL4 ITPR2 MAOB MGMT MSTN NPPC NQO1 NTRK1 NTRK3 OGG1 OPRM1 OXCT1 POLB PRKAA1 PRKCE PRL PTEN PTH PTK2B RARA RBP4 RHOA RPS6KB1 S100A8 S100A9 SDF4 SLC2A4 SLC6A3 SOD1 SOD2 SPARC STAR STAT3 STAT5B TACR1 TH TJP1 TNC TNFRSF1A TP53INP1 TRH TYMS UGT1A1 UNC79 USP46 VCAM1
photoreceptor cell maintenance	ABCA4 BBS1 BBS10 BBS12 BBS2 BBS4 CDH23 CDHR1 CIB2 CLN8 CLRN1 ERCC6 GPR98 IQCB1 LCA5 M0R296 MAK MKKS NPHP3 NXNL1 NXNL2 PCDH15 PROM1 RDH12 RP1 RP1L1 TULP1 USH1C USH1G USH2A
regulation of cholesterol biosynthetic process	ABCG1 APOB APOE DHCR7 FGF1 PEX2 POR PRKAA1 SCAP SEC14L2 SOD1 SREBF1
mast cell activation	CD48 CEP152 CPLX2 FCER1G KIT LAT LAT2 LCP2 MILR1 NDRG1 PIK3CD PIK3CG PLA2G3 RASGRP1 RHOH S100A12 S100A13
regulation of B cell differentiation	ATP11C BAD BTK CARD11 CD27 FLT3 ID2 IKZF3 INHA INHBA INPP5D NCKAP1L NFAM1 PPP2R3C PRDM1 PTPN6 PTPRC SFRP1 STAT5A STAT5B SYK
positive regulation of B cell differentiation	ATP11C BAD BTK CD27 INPP5D NCKAP1L PPP2R3C PRDM1 STAT5A STAT5B SYK
regulation of T cell differentiation	ADA ADAM8 AP3B1 AP3D1 BAD BCL6 BMP4 CAMK4 CARD11 CCL19 CD2 CD46 CD74 CD80 CD83 CD86 CDKN2A CLPTM1 CTLA4 DTX1 EGR3 ERBB2 FOXJ1 FOXN1 FOXP3 GATA3 GIMAP5 GLI2 GLI3 HLA-DMA HLA-DOA HLA-G HLX IFNA2 IFNB1 IFNL1 IHH IKZF1 IL12A IL12B IL12RB1 IL15 IL1RL2 IL2 IL23A IL23R IL27 IL2RA IL36B IL4 IL4R IL6 IL7 IL7R IRF1 IRF4 ITPKB JAK3 LCK LILRB2 MYB NCKAP1L NFKBID NKAP NRARP PNP PRELID1 PRKCZ PTPN2 PTPRC RAG1 RARA RC3H1 RIPK2 RLTPR RORC SART1 SASH3 SHH SLC46A2 SOCS5 SOD1 SOX13 SPINK5 STAT5A STAT5B SYK TESPA1 TGFBR2 TNFSF4 TNFSF9 VNN1 ZAP70 ZBTB1 ZBTB16 ZC3H8 ZEB1
negative regulation of T cell differentiation	BCL6 BMP4 CD74 CDKN2A CTLA4 DTX1 ERBB2 FOXJ1 GLI3 HLX IFNA2 IFNB1 IFNL1 IHH IL4 IL4R IRF1 JAK3 NFKBID NRARP PTPN2 RC3H1 SHH SOCS5 TNFSF4 ZC3H8
positive regulation of T cell differentiation	ADA ADAM8 AP3B1 AP3D1 BAD CCL19 CD46 CD74 CD80 CD83 CD86 EGR3 FOXP3 GATA3 GIMAP5 GLI2 GLI3 HLA-DMA HLA-G HLX IHH IKZF1 IL12A IL12B IL12RB1 IL1RL2 IL2 IL23A IL23R IL2RA IL36B IL4 IL4R IL6 IL7 IL7R ITPKB LCK LILRB2 MYB NCKAP1L NKAP PNP PRKCZ PTPRC RARA RIPK2 RLTPR SART1 SASH3 SHH SOCS5 STAT5A STAT5B SYK TESPA1 TGFBR2 TNFSF4 TNFSF9 VNN1 ZAP70 ZBTB1 ZBTB16
regulation of gamma-delta T cell differentiation	EGR3 GIMAP5 LCK NCKAP1L PTPRC RORC SOX13 STAT5A STAT5B SYK
regulation of regulatory T cell differentiation	CD46 CTLA4 FOXP3 GIMAP5 HLA-G IL2 IRF1 LILRB2 RLTPR TNFSF4
regulation of fat cell differentiation	AAMDC ADIG ADIPOQ ADIRF AKT1 ANKRD26 ARNTL ASXL1 ASXL2 AXIN1 BBS12 BMP2 CARM1 CCDC85B CCRN4L CEBPA CEBPB CMKLR1 CREB1 CREBL2 DACT1 DKKL1 DLK2 ENPP1 FAM57B FNDC3B FNDC5 FOXO1 FRZB GATA2 GATA3 GPER1 HES1 ID2 ID4 IFT88 IL6 INS INSIG1 JAG1 JDP2 LEP LMO3 LPIN1 LRP5 LRP6 MEDAG METRNL MEX3C MMP11 MSX2 NCOR2 NR1D1 PPARD PPARG PTGS2 PTPRQ RARRES2 RORA RORC SFRP1 SFRP2 SH3PXD2B SIRT1 SIRT2 SNAI2 SOD2 SOX6 TAF8 TCF7L2 TGFB1 TGFB1I1 TNF TRIB2 TRIB3 WIF1 WNT1 WNT10B WNT3A WNT5A WNT5B WWTR1 ZBTB16 ZC3H12A ZFPM1 ZFPM2 ZNF385A
negative regulation of fat cell differentiation	ADIPOQ ANKRD26 ARNTL ASXL1 AXIN1 BBS12 CCDC85B ENPP1 FAM57B FOXO1 GATA2 GATA3 GPER1 ID4 IL6 INSIG1 JAG1 JDP2 LRP6 MMP11 MSX2 NCOR2 RORA SIRT1 SIRT2 SOD2 TCF7L2 TGFB1 TGFB1I1 TNF TRIB2 TRIB3 WNT1 WNT10B WNT3A WNT5A WWTR1 ZFPM1 ZFPM2
positive regulation of fat cell differentiation	AAMDC ADIG ADIRF AKT1 ASXL2 BMP2 CARM1 CCRN4L CEBPA CEBPB CMKLR1 CREB1 CREBL2 DACT1 DKKL1 FNDC3B FNDC5 FRZB ID2 INS LMO3 LRP5 MEDAG METRNL PPARD PPARG PTGS2 RARRES2 SFRP1 SFRP2 SH3PXD2B SNAI2 SOX6 WIF1 WNT5B ZBTB16 ZC3H12A ZNF385A
regulation of endothelial cell differentiation	ACVRL1 ALOX12 APOLD1 BMP4 BMP6 BTG1 CTNNB1 ETV2 GDF2 NOTCH4 S1PR2 S1PR3 TMEM100 XDH
positive regulation of endothelial cell differentiation	ACVRL1 ALOX12 BMP4 BMP6 BTG1 CTNNB1 ETV2 GDF2 S1PR2 TMEM100
regulation of epidermal cell differentiation	ALOX15B AQP3 ATOH1 BMP4 CYP27B1 DLL1 ERRFI1 EZH2 GAL GDF3 HES1 HEY2 HOXA7 IL20 KDF1 KEAP1 KRT36 KRT84 MAFF MAFG MED1 MSX2 NCOA3 NME2 NOTCH1 OVOL2 PRKCH REG3A REG3G ROCK1 ROCK2 SFN SFRP4 SRSF6 TP63 TRIM16 VDR
negative regulation of epidermal cell differentiation	DLL1 EZH2 GDF3 HES1 HOXA7 MSX2 OVOL2 REG3A REG3G SRSF6 TP63
positive regulation of epidermal cell differentiation	ALOX15B ATOH1 BMP4 CYP27B1 IL20 KDF1 MED1 NCOA3 NME2 NOTCH1 PRKCH SFN SFRP4 TRIM16 VDR
regulation of keratinocyte differentiation	ALOX15B AQP3 CYP27B1 ERRFI1 HOXA7 IL20 KRT36 KRT84 MED1 MSX2 NCOA3 NME2 NOTCH1 OVOL2 PRKCH REG3A REG3G ROCK1 ROCK2 SRSF6 TP63 TRIM16 VDR
positive regulation of keratinocyte differentiation	ALOX15B CYP27B1 IL20 MED1 NCOA3 NME2 NOTCH1 PRKCH TRIM16 VDR
regulation of lymphocyte differentiation	ADA ADAM8 AP3B1 AP3D1 ATP11C AXL BAD BCL6 BMP4 BTK CAMK4 CARD11 CCL19 CD2 CD27 CD46 CD74 CD80 CD83 CD86 CDKN2A CLPTM1 CTLA4 DTX1 EGR3 ERBB2 FAS FBXO7 FLT3 FLT3LG FOXJ1 FOXN1 FOXP3 GAS6 GATA3 GIMAP5 GLI2 GLI3 HLA-DMA HLA-DOA HLA-G HLX ID2 IFNA2 IFNB1 IFNL1 IHH IKZF1 IKZF3 IL12A IL12B IL12RB1 IL15 IL15RA IL1RL2 IL2 IL21 IL23A IL23R IL27 IL2RA IL36B IL4 IL4R IL6 IL7 IL7R INHA INHBA INPP5D IRF1 IRF4 ITPKB JAK3 LCK LILRB2 MYB NCKAP1L NDFIP1 NFAM1 NFKBID NKAP NRARP PGLYRP1 PGLYRP2 PGLYRP3 PGLYRP4 PNP PPP2R3C PRDM1 PRELID1 PRKCZ PTPN2 PTPN6 PTPRC RAG1 RARA RC3H1 RIPK2 RLTPR RNF41 RORC SART1 SASH3 SFRP1 SHH SLC46A2 SOCS5 SOD1 SOX13 SPINK5 STAT5A STAT5B SYK TESPA1 TGFBR2 TNFSF4 TNFSF9 VNN1 ZAP70 ZBTB1 ZBTB16 ZC3H8 ZEB1
negative regulation of lymphocyte differentiation	BCL6 BMP4 CD74 CDKN2A CTLA4 DTX1 ERBB2 FBXO7 FLT3 FOXJ1 GLI3 HLX ID2 IFNA2 IFNB1 IFNL1 IHH IL4 IL4R INHA INHBA IRF1 JAK3 NFKBID NRARP PGLYRP1 PGLYRP2 PGLYRP3 PGLYRP4 PTPN2 RC3H1 SFRP1 SHH SOCS5 TNFSF4 ZC3H8
positive regulation of lymphocyte differentiation	ADA ADAM8 AP3B1 AP3D1 ATP11C AXL BAD BTK CCL19 CD27 CD46 CD74 CD80 CD83 CD86 EGR3 FLT3LG FOXP3 GAS6 GATA3 GIMAP5 GLI2 GLI3 HLA-DMA HLA-G HLX IHH IKZF1 IL12A IL12B IL12RB1 IL15 IL15RA IL1RL2 IL2 IL21 IL23A IL23R IL2RA IL36B IL4 IL4R IL6 IL7 IL7R INPP5D ITPKB LCK LILRB2 MYB NCKAP1L NKAP PNP PPP2R3C PRDM1 PRKCZ PTPRC RARA RIPK2 RLTPR SART1 SASH3 SHH SOCS5 STAT5A STAT5B SYK TESPA1 TGFBR2 TNFSF4 TNFSF9 VNN1 ZAP70 ZBTB1 ZBTB16
regulation of T-helper cell differentiation	BCL6 CCL19 CD80 CD86 HLX IL12B IL12RB1 IL23A IL23R IL27 IL4 IL4R IL6 IRF4 JAK3 MYB PRKCZ RARA RC3H1 RIPK2 SOCS5 TNFSF4
negative regulation of T-helper cell differentiation	BCL6 HLX IL4 IL4R JAK3 RC3H1 SOCS5 TNFSF4
positive regulation of T-helper cell differentiation	CCL19 CD80 CD86 HLX IL12B IL12RB1 IL23A IL23R IL4R IL6 MYB PRKCZ RARA RIPK2 SOCS5 TNFSF4
regulation of T-helper 1 cell differentiation	CCL19 CD80 HLX IL27 IL4R JAK3 RIPK2 SOCS5 TNFSF4
regulation of T-helper 2 cell differentiation	BCL6 CD86 HLX IL4R IL6 PRKCZ RARA SOCS5 TNFSF4
regulation of myeloid cell differentiation	ACIN1 ACVR1B ACVR2A ADIPOQ ANKRD54 APC APCS ARNT ASXL2 ATP6AP1 BGLAP C1QC CA2 CALCA CAMK4 CARTPT CASP8 CCL3 CCR1 CDC73 CDK6 CIB1 CREB1 CSF1 CTNNB1 CTNNBIP1 CTR9 CUL4A DCSTAMP DLL1 ESRRA ETS1 FADD FAM213A FAS FES FOS FOXO3 FSHB FSTL3 GABPA GAS2L1 GATA1 GATA2 GFI1B GNAS GPR55 GPR68 HAX1 HCLS1 HIF1A HIST1H4A HMGB2 HOXA5 HOXA7 HOXA9 HOXB8 HSPA1A ID2 IFNG IKZF1 IL12B IL17A IL20 IL23A IL23R IL4 IL5 INHA INHBA INPP4B INPP5D IRF7 ISG15 JAG1 JUN KDM1A KITLG KLF10 KLF13 KMT2E L3MBTL1 LDB1 LEF1 LEO1 LEP LIF LILRB1 LILRB3 LILRB4 LMO2 LRRC17 LTF LYN MAFB MAPK14 MEF2A MEF2C MEIS1 MEIS2 MITF MYC NCKAP1L NDFIP1 NF1 NFKBIA NME1 OCSTAMP OGT PAF1 PF4 PIK3R1 PPARGC1B PRDM16 PRKCA PRMT1 PTK2B PTPN2 PURB RAB7B RARA RASSF2 RB1 RBFOX2 RBM15 RIPK1 RNF41 RUNX1 SCIN SENP1 SFRP1 SIGLEC15 SMAP1 SPI1 STAT5A STAT5B TAL1 TESC TFE3 THOC5 THPO TLR3 TLR4 TMEM64 TNF TNFSF11 TOB2 TRAF6 TYROBP WDR61 ZBTB16 ZBTB46 ZFP36 ZFPM1 ZNF16 ZNF675
negative regulation of myeloid cell differentiation	ADIPOQ APCS C1QC CALCA CARTPT CCL3 CDC73 CDK6 CIB1 CTNNB1 CTR9 CUL4A DLL1 FSTL3 GABPA GAS2L1 GATA2 GPR55 GPR68 HIST1H4A HOXA5 HOXA7 HOXA9 HOXB8 IL4 INHA INHBA INPP4B INPP5D KLF13 LDB1 LEO1 LILRB1 LILRB3 LILRB4 LMO2 LRRC17 LTF LYN MAFB MEIS1 MEIS2 MYC NF1 NFKBIA NME1 PAF1 PF4 PIK3R1 PRDM16 PRMT1 PTK2B PTPN2 RARA RBM15 RUNX1 SFRP1 STAT5A STAT5B THOC5 TLR3 TLR4 TOB2 WDR61 ZBTB16 ZBTB46 ZFP36 ZFPM1 ZNF675
positive regulation of myeloid cell differentiation	ACIN1 ACVR1B ACVR2A ANKRD54 ARNT ASXL2 ATP6AP1 CA2 CALCA CASP8 CCR1 CREB1 CSF1 CTNNBIP1 DCSTAMP ETS1 FADD FES FOS FOXO3 GATA1 GATA2 GFI1B GNAS GPR68 HAX1 HCLS1 HIF1A HMGB2 HOXA5 HSPA1A ID2 IFNG IKZF1 IL12B IL17A IL20 IL23A IL23R IL5 INHBA INPP5D ISG15 JAG1 JUN KDM1A KITLG KLF10 KMT2E LEF1 LEP LIF MAPK14 NCKAP1L OCSTAMP OGT PF4 PPARGC1B PRKCA RAB7B RB1 RIPK1 RUNX1 SCIN SMAP1 STAT5A TAL1 TESC THPO TMEM64 TNF TNFSF11 TRAF6 ZNF16
regulation of erythrocyte differentiation	ACVR1B ACVR2A ANKRD54 ARNT CDK6 ETS1 FOXO3 GAS2L1 GATA1 GATA2 GFI1B HIF1A HMGB2 HOXA5 HSPA1A ID2 INHBA INPP5D ISG15 KDM1A KLF13 LDB1 LMO2 LYN MAFB MAPK14 NCKAP1L RBFOX2 SENP1 SMAP1 SPI1 STAT5A STAT5B TAL1 ZFPM1 ZNF16
negative regulation of erythrocyte differentiation	GAS2L1 HOXA5 KLF13 LDB1 LMO2 MAFB STAT5A STAT5B
positive regulation of erythrocyte differentiation	ACVR1B ACVR2A ANKRD54 ARNT ETS1 FOXO3 GATA1 GATA2 HIF1A HMGB2 HSPA1A ID2 INHBA INPP5D ISG15 KDM1A MAPK14 NCKAP1L SMAP1 TAL1 ZNF16
regulation of macrophage differentiation	ADIPOQ C1QC CALCA CASP8 CSF1 FADD GATA2 HCLS1 ID2 INHA INHBA LIF PF4 PRKCA PTPN2 RB1 RIPK1 THOC5 ZBTB46
negative regulation of macrophage differentiation	ADIPOQ C1QC GATA2 INHA INHBA PTPN2 THOC5 ZBTB46
positive regulation of macrophage differentiation	CALCA CASP8 CSF1 FADD HCLS1 ID2 LIF PF4 PRKCA RB1 RIPK1
regulation of megakaryocyte differentiation	CIB1 GABPA GATA2 HIST1H4A HMGB2 KDM1A L3MBTL1 MEF2A MEF2C PF4 PRMT1 RAB7B SCIN TESC THPO ZNF16
positive regulation of megakaryocyte differentiation	GATA2 HMGB2 KDM1A RAB7B SCIN TESC THPO ZNF16
regulation of monocyte differentiation	ACIN1 APCS CSF1 CTNNBIP1 DCSTAMP GPR68 HOXA7 INPP5D IRF7 JUN MYC ZBTB46
regulation of myoblast differentiation	ANKRD2 BMP4 BOC BTG1 CAPN3 DDIT3 HIF1AN ID3 IGFBP3 ILK KLHL41 MAPK14 MBNL3 MEF2C MKX MYOCD MYOG NMRK2 NOTCH1 PLCB1 PRICKLE1 SMYD1 SOX8 SOX9 TBX3 TGFB1 ZFHX3
negative regulation of myoblast differentiation	ANKRD2 BMP4 DDIT3 ID3 MBNL3 MKX NMRK2 NOTCH1 PRICKLE1 SOX8 SOX9 TBX3 TGFB1 ZFHX3
positive regulation of myoblast differentiation	BOC BTG1 HIF1AN IGFBP3 ILK MAPK14 MEF2C MYOG PLCB1 SMYD1 ZFHX3
regulation of neuron differentiation	AATK ABL2 ACHE ACSL6 ACTR3 ADCY6 ADCYAP1 ADRA2B ADRA2C AKT1 AMIGO1 ANAPC2 ANKRD1 APOE APP ARF6 ARHGAP4 ARHGDIA ARHGEF1 ASCL1 ASPM ATF1 ATOH1 ATP8A2 AVIL BARHL2 BCL11A BCL11B BCL2 BDNF BHLHB9 BIN1 BMP2 BMP4 BMP5 BMP6 BMP7 BMPR2 BNIP2 BRINP1 BRINP2 BRINP3 C3ORF17 CACNA1A CALR CAMK1 CAMK1D CAMK2B CAPRIN1 CAPRIN2 CBFA2T2 CCDC88A CDC20 CDK5 CDK5R1 CDK5RAP1 CDK5RAP2 CDK5RAP3 CDKL5 CDON CFL2 CHN1 CHRNA3 CHRNB2 CIB1 CIT CNR1 CNTF CNTN1 CNTN2 CNTN4 COBL CPEB3 CRP CRX CTDSP1 CUL7 CUX1 CUX2 CXCL12 DAB1 DAB2IP DBN1 DCC DGUOK DICER1 DISC1 DIXDC1 DLL1 DMD DNMT3B DPYSL2 DPYSL3 DRAXIN DSCAM DTX1 DUOXA1 DVL1 ECT2 EDNRB EFNA1 EOMES EPHA3 EPHA4 EPHB2 EPHB3 EPO ETV5 EYA1 FAT3 FBXW8 FES FEZ1 FEZF1 FEZF2 FGF13 FGFR1 FIG4 FKBP1B FKBP4 FN1 FOXA1 FOXA2 FOXG1 FRMD7 FUOM FYN GATA2 GATA3 GDF5 GDF6 GDF7 GDI1 GDPD5 GFAP GFI1 GLI2 GLI3 GORASP1 GPR37L1 GPRC5B GRID2 GRIN1 GSK3B HDAC2 HES1 HES3 HES5 HEY2 HEYL HMG20A HMG20B HOXA2 HOXD3 ID2 ID4 IFNG IL15RA IL1RAPL1 IL2 IL6 ILK INPP5J IRX3 ISL1 ISL2 ISLR2 IST1 ITGA3 ITGB1 ITM2C ITPKA JAG1 KANK1 KATNA1 KATNB1 KCTD11 KIAA0319 KIDINS220 KIF13B KLK6 KLK8 KNDC1 LBX1 LGALS1 LIMK1 LIN28A LINGO1 LMX1A LOC100653515 LPAR1 LPAR3 LRP4 LRP8 LRRC4C LRRK2 LTK LYN LZTS1 MAG MAGI2 MAP1B MAPK8IP3 MAPT MARK2 MBP MED1 MEF2A MEF2C MEGF8 MEIS1 METRN MIB1 MOB2 MT3 NAP1L2 NBL1 NCOA1 NCS1 NDEL1 NDNF NEDD4 NEFL NEFM NEGR1 NEURL1 NEUROD1 NEUROD2 NEUROG1 NEUROG2 NEUROG3 NGEF NGF NGFR NKX2-2 NKX2-5 NKX6-1 NLGN1 NLGN3 NME1 NOTCH1 NOTCH3 NPTN NR2E1 NR2F1 NRCAM NREP NRP1 NSMF NTN1 NTRK1 NTRK2 NTRK3 NUMBL OBSL1 OLIG2 OMG PACSIN1 PAFAH1B1 PALM PAQR3 PAX6 PBX1 PDLIM5 PHOX2B PLK5 PLXNA3 PLXNA4 PLXNB1 PLXNB2 POU3F2 PQBP1 PREX1 PRKCI PRKCSH PRKD1 PROX1 PSEN1 PTEN PTK2 PTK2B PTK6 PTK7 PTPRD PTPRG PTPRO RAB11A RAB17 RAP1A RAP1B RAP1GAP2 RAP2A RAPGEF1 RAPGEF2 RARA RARB RELN REST RET RGS6 RHOA RND2 RNF6 ROBO1 ROBO2 RTN4 RTN4R RUFY3 S1PR5 SALL1 SARM1 SCARF1 SCN1B SDC2 SEMA3A SEMA3F SEMA4D SEMA4F SEMA5A SEMA7A SEZ6 SHANK1 SHANK3 SHOX2 SIPA1L1 SIX1 SIX3 SKIL SKOR2 SLC39A12 SLC6A4 SLIT1 SLIT2 SMAD1 SNAP25 SNAPIN SOX11 SOX2 SOX3 SOX5 SOX8 SOX9 SPAG9 SPG20 SPHK1 SPOCK1 SPP1 SRCIN1 SRGAP2C SS18L1 SSH1 SSH2 SSH3 STK11 STK24 STK25 STMN2 SYNGAP1 TBR1 TBX6 TCF12 TCF3 TCF4 TENM3 TFAP2A TGIF1 TGIF2 THY1 TIAM1 TIMP2 TLX2 TLX3 TMEM30A TNFRSF12A TNIK TNR TP73 TRIM32 TRIM67 TRPV2 TRPV4 TTC3 TTL TWF2 UBE2V2 ULK1 ULK2 ULK4 UTRN VEGFA VIM VLDLR VWC2 VWC2L WDR36 WNT3 WNT3A WNT5A WNT7A YWHAG YWHAH ZEB1 ZFHX3 ZHX2 ZNF536
negative regulation of neuron differentiation	AATK ADCY6 APOE APP ARHGAP4 ARHGDIA ARHGEF1 ASCL1 ASPM BCL11A BMP7 C3ORF17 CALR CBFA2T2 CDK5 CDK5R1 CDK5RAP2 CIB1 CIT CNTF CNTN2 CNTN4 CTDSP1 DAB1 DCC DGUOK DIXDC1 DLL1 DPYSL3 DRAXIN DTX1 EDNRB EFNA1 EPHA4 EPHB2 FAT3 FGF13 FKBP4 FOXA2 FOXG1 FUOM GDI1 GFAP GFI1 GLI3 GORASP1 GPR37L1 GSK3B HDAC2 HES1 HES5 HMG20A HOXA2 ID2 ID4 IL15RA INPP5J IRX3 ISL1 ISL2 ITGB1 ITM2C JAG1 KANK1 KATNA1 KIAA0319 KLK8 LBX1 LGALS1 LINGO1 LMX1A LPAR1 LRP4 MAG MBP MED1 MEIS1 MIB1 MT3 NGEF NGFR NKX2-2 NOTCH1 NOTCH3 NR2E1 NR2F1 NRP1 NTN1 OLIG2 OMG PAFAH1B1 PAQR3 PAX6 PBX1 PHOX2B PLXNA3 PRKCSH PSEN1 PTEN PTK2 PTPRG PTPRO RAP1GAP2 RAPGEF2 REST RHOA RNF6 RTN4 RTN4R RUFY3 SEMA3A SEMA3F SEMA4F SEMA5A SEZ6 SIX3 SLC6A4 SLIT1 SLIT2 SNAPIN SOX2 SOX3 SOX8 SOX9 SPG20 SPOCK1 SPP1 SRGAP2C STMN2 SYNGAP1 TBX6 THY1 TLX2 TLX3 TNR TP73 TRPV4 TTC3 ULK1 ULK2 VIM WNT3 WNT3A WNT5A YWHAH ZHX2 ZNF536
